SiteID,country,city,methamphetamineWed2011,methamphetamineThu2011,methamphetamineFri2011,methamphetamineSat2011,methamphetamineSun2011,methamphetamineMon2011,methamphetamineTue2011,methamphetamineWDMean2011,methamphetamineWEMean2011,methamphetamineMean2011
site14,BE,Antwerp Zuid,3.79,4.1,6.15,5.46,6.5,5.83,6.36,4.75,5.99,5.46
site17,BE,Brussels,0,0,0,0,0,0,0,0,0,0
site34,CZ,Budweis,170.18,169,193.88,167,145.98,176.65,205.73,181.64,170.88,175.49
site55,ES,Barcelona,6.43,8.12,9.31,10.5,10.66,6.51,7.46,7.34,9.24,8.43
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site93,GB,London,7.97,7.22,6.54,,13.72,6.7,6.92,7.37,8.99,8.18
site98,HR,Zagreb,0,0,0,0,0,0,0,0,0,0
site101,IT,Milan,44.46,41.37,48.55,54,63.47,45.44,43.47,43.1,52.86,48.68
site107,NL,Amsterdam,0,0,0,0,0,0,0,0,0,0
site108,NL,Eindhoven,0,0,0,0,0,0,0,0,0,0
site111,NL,Utrecht,0,0,0,0,0,0,0,0,0,0
site112,NO,Oslo,235,212.6,231.06,186.16,295.5,302.46,250.71,232.77,253.8,244.79
site125,SE,Umea,3.91,4.37,3.82,1.29,1.79,3.28,2.07,3.45,2.55,2.93
