SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site13,BE,Antwerp Deurne,6.05,4.72,4.39,6.23,5.42,3.58,4.67,5.05,4.97,5.01
site14,BE,Antwerp Zuid,8.93,6.25,4.16,4.46,7.02,6.57,6.95,6.45,6.25,6.33
site17,BE,Brussels,2.28,2.54,1.71,1.79,1.83,2.56,1.89,2.18,2.02,2.09
site24,CH,Basel,0,0,0,0,0,0,0,0,0,0
site25,CH,Berne,19.83,21.7,21.12,24.69,3.79,23.05,22.66,20.88,18.55,19.55
site26,CH,Geneva,0,0,0,0,0,0,0,0,0,0
site30,CH,Zurich,0,0,0,0,0,0,0,0,0,0
site34,CZ,Budweis,86.11,130.17,93.35,59.24,146.33,117.65,112.28,103.21,108.88,106.45
site37,CZ,Prague,191.27,184.31,183.9,193.36,199.58,182.06,172.54,186.49,186.89,186.72
site55,ES,Barcelona,25.12,25.31,26.91,22.28,26.55,24.96,34.73,25.78,27.13,26.55
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site98,HR,Zagreb,0,0,0,0,0,0,0,0,0,0
site101,IT,Milan,8.9,9.62,9.4,8.61,12.12,11.47,10.66,9.31,10.72,10.11
site107,NL,Amsterdam,8.48,4.96,10.82,5.42,4.9,6.57,3.69,8.09,5.15,6.41
site108,NL,Eindhoven,0,0,0,0,0,0,0,0,0,0
site111,NL,Utrecht,2.06,1.2,0.82,2.45,1.58,0.85,0.84,1.36,1.43,1.4
site112,NO,Oslo,197.16,153.07,118.82,221.87,202.95,,118.64,156.35,181.15,168.75
site120,SE,Gothenburg,37.66,43.6,51.4,62.57,61.62,56.85,36.58,44.22,54.41,50.04
site125,SE,Umea,1.34,1.18,0.97,0.77,0.76,0.91,0.65,1.16,0.77,0.94
