SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site12,BA,Sarajevo,18.31,24.23,23.85,44.62,37.23,27.08,38.77,27.1,33.19,30.58
site13,BE,Antwerp Deurne,371.57,433.84,379.41,683.98,540.17,360.8,329.26,378.22,491.09,442.72
site14,BE,Antwerp Zuid,847.68,737.47,823.37,794.5,1053.76,888.56,712.15,765.77,890.05,836.79
site17,BE,Brussels,227.11,218.37,196.6,179.39,219.61,276.48,249.08,231.52,218.02,223.81
site18,BE,Geraardsbergen,20.49,,19.58,31.61,31.41,20.88,13.3,16.9,25.87,22.88
site19,BE,Koksijde,51.35,25.47,51.83,56.27,70.44,56.29,50.14,42.32,58.71,51.68
site21,BE,Ninove,95.11,98.71,105.06,140.1,134.63,98.54,71.28,88.37,119.58,106.2
site24,CH,Basel,486.88,359.43,432.76,536.12,451.6,378.23,411.49,419.27,449.68,436.64
site25,CH,Berne,238.7,267.75,418.27,257.88,260.59,187.9,219.25,241.9,281.16,264.34
site26,CH,Geneva,281.92,315.33,664.09,365.75,312.72,300.9,,298.62,410.87,373.45
site29,CH,St. Gallen Hofen,343.43,343.75,540.28,541.31,389.34,306.94,296.19,327.79,444.47,394.46
site30,CH,Zurich,526.12,574.36,793.71,877.2,829.22,617.24,533.69,544.72,779.34,678.79
site31,CY,Limassol,12.86,14.33,12.19,14.56,11.73,18.79,12.96,13.38,14.32,13.92
site32,CY,Nicosia,69.08,39.24,54.91,39.72,81.44,72.81,69.82,59.38,62.22,61
site34,CZ,Budweis,2.37,2.33,2.3,3.03,3.3,2.54,2.15,2.28,2.79,2.58
site37,CZ,Prague,85.5,39.58,48.34,62.7,51.76,36.21,36.03,53.7,49.75,51.45
site40,DE,Dortmund,283.58,297.72,333.74,407.09,377.22,295.1,274.55,285.29,353.29,324.14
site41,DE,Dresden,5.77,7.52,7.11,5.12,8.49,4.94,3.02,5.44,6.42,6
site42,DE,Dülmen,31.59,42.59,36.52,93.38,67.49,41.25,26.18,33.46,59.66,48.43
site54,DK,Copenhagen,171.71,184.61,322.89,191.27,308.16,184.26,,174.43,251.64,218.55
site55,ES,Barcelona,366.91,503.54,433.04,714.38,722.27,546.17,479.57,450.01,603.97,537.98
site56,ES,Castellon,112.3,121.31,116.57,300.83,175.05,207.34,188.16,140.59,199.95,174.51
site59,ES,Santiago,106.98,120.36,89.96,149.32,216.24,144.58,84.01,103.78,150.03,130.21
site60,ES,Valencia (3),334.44,312.99,334.85,516.3,582.11,393.04,336.76,328.07,456.57,401.5
site90,FR,Paris Seine Centre,178.89,249.2,275.82,359.59,320.77,155.47,158.91,195.67,277.91,242.66
site93,GB,London,692.98,726.17,421.04,903.65,725.79,526.05,978.9,799.35,644.13,710.65
site94,GR,Athens,56.77,62.63,52.42,47.08,75.26,59.33,61,60.13,58.52,59.21
site98,HR,Zagreb,68.32,69.78,73.17,112.05,104.24,69.59,63.07,67.06,89.76,80.03
site101,IT,Milan,215.21,197.67,213.37,288.68,283.17,256.29,177.8,196.89,260.38,233.17
site107,NL,Amsterdam,361.64,376.34,318.59,603.69,480.48,313.7,296.58,344.85,429.11,393
site108,NL,Eindhoven,187.32,411.84,918.06,477.6,328.21,355.29,307.99,302.39,519.79,426.62
site111,NL,Utrecht,163.54,156.64,250.01,324.48,246.28,150.36,102.79,140.99,242.78,199.16
site112,NO,Oslo,35.38,36.81,81.67,113.11,111.24,61.76,49.17,40.46,91.94,69.88
site115,PT,Lisbon,99.34,105.68,,135.1,117.14,86.51,97.17,100.73,112.92,106.82
site117,RO,Cluj Napoca,0,0,0,0,0,0,0,0,0,0
site118,RS,Belgrade,34.61,31.62,19.95,34.01,16.79,,18.29,34.13,47.26,40.69
site119,RS,Novi Sad,,11.03,10.04,21.46,16.19,18.34,17.62,14.33,16.51,15.78
site120,SE,Gothenburg,21.96,26.61,26.5,26.67,53.73,35.51,23.09,23.89,35.6,30.58
site125,SE,Umea,4.13,5.5,7.44,7.44,2.97,2.58,5.42,5.02,5.1,5.07
site133,SK,Bratislava (2),16.99,33.64,36.18,50.92,47.4,38.22,39.58,23.27,44.03,37.56
site134,SK,Piestany,3.27,2.8,2.65,6.38,2.76,2.39,2.37,2.81,3.55,3.23
