SiteID,country,city,7,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site3,AT,Innsbruck,13.07,9.57,12.38,19.93,22.61,14.6,11.55,11.4,17.38,14.82
site14,BE,Antwerp Zuid,196.01,227.17,192.66,225.56,200.85,188.24,650.77,357.98,201.83,268.75
site15,BE,Boom,182.86,206.19,225.29,204.36,182.34,,176.74,188.6,204,191.07
site17,BE,Brussels,60.66,38.61,42.64,42.12,46.96,61.18,52.01,50.43,48.23,49.17
site19,BE,Koksijde,39.59,40.54,48.48,44.73,41.97,44.63,43.64,41.26,44.95,43.37
site20,BE,Merchtem,22.72,30.05,31.14,34.17,25.15,25.35,19.1,23.95,28.95,26.81
site22,BE,Oostende,197.57,222.65,228.42,259.12,263.93,263.17,219.75,213.32,253.66,236.37
site23,BE,Ruisbroek (Puurs),52.05,60.41,82.15,51.6,49.98,54.31,49.79,54.09,59.51,57.19
site24,CH,Basel,26.81,34.3,,30.62,40.59,29.99,26.94,29.35,33.73,31.54
site25,CH,Berne,66.85,38.19,55.54,53.96,57.08,55.74,45.81,50.28,55.58,53.31
site26,CH,Geneva,16.2,20.89,14.67,12.74,13.33,13.31,11.33,16.14,13.51,14.64
site29,CH,St. Gallen Hofen,39.52,45.34,45.32,49.49,48.2,41.31,38.26,41.04,46.08,43.92
site30,CH,Zurich,44.83,43.18,42.01,48.27,54.89,48.31,45.52,44.51,48.37,46.71
site31,CY,Limassol,8.63,8.91,8.36,10.49,10.24,10.62,10.65,9.4,9.93,9.7
site32,CY,Nicosia,4.03,4.75,5.03,4.51,4.5,6.8,4.9,4.56,5.21,4.93
site33,CZ,Brno,11.26,7.56,7.19,11.87,10.96,5.09,9.23,9.35,8.78,9.02
site34,CZ,Budweis,10.79,10.29,6.48,7.22,7.69,9.3,6.51,9.2,7.67,8.33
site38,DE,Berlin (4),111.68,122.45,110.59,98.09,181.7,148.89,136.9,123.68,134.82,130.04
site39,DE,Chemnitz,0,0,0,0,0,0,0,0,0,0
site40,DE,Dortmund,131.8,150.1,156.78,171.61,267.9,148.74,154.2,145.37,186.26,168.73
site41,DE,Dresden,23.57,19.66,20.2,22.7,30.04,25.59,22.28,21.84,24.63,23.43
site42,DE,Dülmen,113.44,130.47,172.8,168,129.16,113.64,120.29,121.4,145.9,135.4
site43,DE,Erfurt,0,0,0,0,0,0,0,0,0,0
site44,DE,Frankfurt (3),82.41,78.42,90.3,93.59,88.17,77.6,82.17,81,87.42,84.67
site45,DE,Hamburg (2),57.86,61.12,69.71,83.85,83.83,66.48,61.57,60.19,75.97,69.2
site46,DE,Hannover (2),83.08,72.61,93.89,82.04,99.99,78.24,71.29,75.66,88.54,83.02
site47,DE,Magdeburg,90.71,83.85,99.18,106.85,111.01,97.6,96.18,90.25,103.66,97.91
site48,DE,Mainz,232.65,254.61,216.38,203.89,215.82,236.31,228.51,238.59,218.1,226.88
site49,DE,Munich Gut_Grosslappen,21.08,17.04,22.22,33.2,32.86,28.35,23.94,20.69,29.16,25.53
site50,DE,Nuremberg,32.34,26.66,47.29,52.54,51.58,49.21,31.94,30.31,50.15,41.65
site51,DE,Rostock,125.78,176.62,172.55,159.05,157.29,145.68,112.95,138.45,158.64,149.99
site52,DE,Saarbrucken (2),227.01,285.65,239.11,254.16,239.82,216.11,232.02,248.23,237.3,241.98
site53,DE,Stuttgart,72.65,63.96,78.91,65.79,,73.68,64.61,67.08,72.79,69.94
site55,ES,Barcelona,32.98,38.52,46.07,49.28,56.51,35.24,37.64,36.38,46.78,42.32
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site57,ES,Madrid VdlV,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,3.98,4.93,5.82,4.64,3.85,17.31,4.41,4.44,7.91,6.42
site60,ES,Valencia (3),23.48,17.91,21.55,23.1,25.33,19.14,24.26,21.88,22.28,22.11
site61,FI,Espoo,32.35,33.76,38.9,46.36,49.09,36.4,30.14,32.08,42.69,38.14
site62,FI,Helsinki,38.06,42.87,43.71,58.36,63.76,42.77,45.15,42.03,52.15,47.81
site84,FI,Tampere,37.23,38.11,41.08,55.86,47.12,41.73,38.94,38.09,46.45,42.87
site85,FI,Turku,45.71,41.98,67.94,52.67,109.17,64.47,71.47,53.05,73.56,64.77
site88,FR,Bordeaux I,0,0,0,0,0,0,0,0,0,0
site89,FR,Fort-de-France P,0,0,0,0,0,0,0,0,0,0
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site91,FR,Paris South Suburbs,0,0,0,0,0,0,0,0,0,0
site92,GB,Bristol,41.82,59.27,60.5,52.37,51.23,59.56,51.55,50.88,55.91,53.76
site94,GR,Athens,,2.25,1.98,,0.94,2.45,2.21,2.23,1.79,2.24
site98,HR,Zagreb,39.29,51.47,55.01,70.14,67.72,58.6,52.02,47.59,62.87,56.32
site99,IS,Reykjavik Klettagarðar,144.55,173.31,158.96,177.58,203.57,179.94,151.5,156.45,180.01,169.91
site101,IT,Milan,0,0,0,0,0,0,0,0,0,0
site104,LT,Vilnius,13.63,12.26,10.78,13.76,12.1,11,18.01,14.63,11.91,13.08
site107,NL,Amsterdam,136.43,98.22,164.3,106.45,138.57,123.51,95.59,110.08,133.21,123.29
site108,NL,Eindhoven,168.7,168.5,200.79,181.54,277.08,696.89,208.58,181.93,339.08,271.73
site109,NL,Nieuwegein Ijssel.,87.04,69.33,84.04,66.12,86.59,100.7,73.81,76.73,84.36,81.09
site110,NL,Oudewater,208.53,218.59,232.41,245.68,242.99,259.04,261.44,229.52,245.03,238.38
site111,NL,Utrecht,83.02,67.38,67.11,81.52,78.35,79.19,67.65,72.69,76.54,74.89
site112,NO,Oslo,56.17,81.79,45.07,45.07,45.07,79.74,93.77,77.24,53.74,63.81
site113,PL,Krakow P,31.38,16.86,,,18.87,25.83,23.9,24.05,22.35,23.41
site114,PT,Almada,,1.62,1.31,0.66,0.61,0,3.67,2.65,0.65,1.31
site115,PT,Lisbon,3.74,2.31,2.34,4.18,3.4,2.3,,3.02,3.05,3.04
site116,PT,Porto,0,0,0,0,0,0,0,0,0,0
site129,SI,Ljubljana,33.76,41.01,33.31,30.17,35.42,33.1,39.87,38.22,33,35.24
site133,SK,Bratislava (2),7.85,6.11,15.18,10.05,14.63,7.6,11.57,8.51,11.87,10.43
site134,SK,Piestany,1.07,1.02,1.08,5.03,1.01,1.05,4.48,2.19,2.04,2.11
