SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site2,AT,Hall-Wattens,70.95,67.73,71.21,63.57,62.86,74.63,80.56,73.08,68.06,70.21
site3,AT,Innsbruck,84.43,74.62,86.99,130.18,83.16,92.28,85.97,81.68,98.15,91.09
site9,AT,Region Millstattersee,35.39,61.06,38.66,36.6,36.3,33.99,33.34,43.26,36.39,39.33
site11,AT,Wasserverband Hofsteig,68.12,63.82,64.81,61.83,58.99,69.11,90.56,74.17,63.68,68.18
site33,CZ,Brno,27.41,35.26,52.84,32.36,22.97,34.94,39.01,33.89,35.78,34.97
site34,CZ,Budweis,52.88,30.47,21.82,18.47,43.24,50.4,40.72,41.35,33.49,36.86
site55,ES,Barcelona,177.52,167.33,201.01,228.82,312.33,247.43,281.33,208.73,247.4,230.82
site56,ES,Castellon,100.37,62.03,48.12,52.42,51.83,64.31,70.35,77.58,54.17,64.2
site57,ES,Madrid VdlV,50.96,61.49,53.6,44.08,59.73,63.18,64.8,59.08,55.15,56.83
site59,ES,Santiago,49.39,64.78,74.21,48.3,67.43,81.76,68.45,60.87,67.93,64.9
site60,ES,Valencia (3),29.23,21.71,22.12,19.88,25.3,33.56,32.78,27.91,25.22,26.37
site88,FR,Bordeaux I,63.5,117.87,212.98,152.54,148.05,293.14,166.32,115.9,201.68,164.91
site90,FR,Paris Seine Centre,82.63,122.9,95.63,70.03,71.23,32.96,106.57,104.03,67.47,83.14
site91,FR,Paris South Suburbs,94.03,64.79,65.78,82.71,108.22,108.77,91.55,83.46,91.37,87.98
site94,GR,Athens,49.17,75.84,52.11,44.17,41.91,58.06,34.66,53.22,49.06,50.85
site98,HR,Zagreb,177.67,138.43,79.21,136.39,86.74,109.19,112.58,142.89,102.89,120.03
site99,IS,Reykjavik Klettagarðar,138.01,105.43,84.59,79,74.5,92.2,107.43,116.96,82.57,97.31
site100,IT,Bozen,40.99,71.76,43.52,40.12,39.73,42.7,41.04,51.26,41.52,45.7
site101,IT,Milan,29.86,23.54,26.87,23.95,38.09,24.66,53.1,35.5,28.39,31.44
site107,NL,Amsterdam,231.43,256.7,178.85,187.16,299.28,474.67,221.41,236.52,284.99,264.22
site108,NL,Eindhoven,136.36,90.54,185.99,135.55,114.97,84.42,131.13,119.35,130.23,125.57
site111,NL,Utrecht,99.36,130.61,83.68,95.62,86.46,114.55,94.32,108.1,95.08,100.66
site114,PT,Almada,33.78,68.94,112.56,83.35,96.92,58.81,86.67,63.13,87.91,77.29
site115,PT,Lisbon,141.09,64.88,124.08,105,133.68,129.81,125.13,110.36,123.14,117.67
site116,PT,Porto,51.73,46.62,24.42,33.68,69.68,30.25,56.33,51.56,39.51,44.67
site127,SI,Domžale-Kamnik,22.46,16.45,12.5,24,30.87,31.53,21.89,20.27,24.72,22.81
site129,SI,Ljubljana,38.75,39,,37.85,39.41,43.58,31.59,36.44,40.28,38.36
site133,SK,Bratislava (2),34.26,34.21,39.9,38.43,42.33,38.47,40.17,36.21,39.78,38.25
site134,SK,Piestany,27.85,28.52,18.18,11.55,10.74,16.66,12.19,22.85,14.28,17.96
