SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,8.88,8.56,8.21,43.72,27.1,14.94,10.28,9.24,23.49,17.39
site2,AT,Hall-Wattens,5.5,5.13,3.23,10.94,12.8,13.61,6.07,5.57,10.14,8.18
site3,AT,Innsbruck,10.33,15.38,15.22,37.84,47,22.17,16.63,14.11,30.56,23.51
site4,AT,Kapfenberg,11.2,10.51,15.47,39.01,35.96,29.3,28.14,16.62,29.93,24.23
site7,AT,Mürzzuschlag,3.08,3.58,3.79,11.32,18.39,8.84,4.93,3.86,10.58,7.7
site8,AT,Purgstall,1.43,0.41,0.44,0.44,7.1,13.62,7.46,3.1,5.4,4.41
site9,AT,Region Millstattersee,4.44,2.9,4.4,7.3,6.87,9.18,4.31,3.88,6.94,5.63
site11,AT,Wasserverband Hofsteig,20.11,9.11,6.55,14.68,16.33,9.86,6.69,11.97,11.86,11.91
site14,BE,Antwerp Zuid,75.87,123.41,99.54,93.87,162.2,129.63,150.15,116.48,121.31,119.24
site15,BE,Boom,24.02,34.22,24.25,30.09,27.44,34.87,55.56,37.94,29.16,32.92
site17,BE,Brussels,14.6,12.55,16.69,46.87,51.56,37.24,21.07,16.07,38.09,28.65
site19,BE,Koksijde,13.76,8.18,5.67,7.41,24.43,13.38,40.84,20.92,12.72,16.24
site22,BE,Oostende,20.26,16.67,18.31,26.6,44.43,19.78,35.69,24.2,27.28,25.96
site24,CH,Basel,10.67,9.72,16.1,36.35,41.25,25.92,13.55,11.31,29.9,21.94
site25,CH,Berne,9.15,8.33,17.01,23.91,39.43,22.22,10.47,9.32,25.64,18.65
site26,CH,Geneva,16.93,17.65,23.48,58.83,,30.87,18.33,17.64,37.73,27.68
site29,CH,St. Gallen Hofen,10.3,8.79,14.4,53.69,69.85,29.71,13.54,10.88,41.91,28.61
site30,CH,Zurich,18.69,16.98,19.96,53.63,165.25,71.1,30.03,21.9,77.48,53.66
site31,CY,Limassol,13.69,9.81,10.04,8.39,7.17,23.2,23.24,15.58,12.2,13.65
site32,CY,Nicosia,14.34,14.91,4.72,6.21,5.68,11.23,12.61,13.95,6.96,9.96
site36,CZ,Ostrava,18.35,9.11,6.44,27.85,59.62,35.2,19.42,15.63,32.28,25.14
site37,CZ,Prague,46.37,51.55,69.64,182.72,162.87,85.24,58.06,52,125.12,93.78
site39,DE,Chemnitz,1.79,1.78,3.36,7.96,14.12,8.08,4.63,2.73,8.38,5.96
site40,DE,Dortmund,7.15,14.38,9.43,31.56,16.84,16.7,11.3,10.94,18.63,15.34
site41,DE,Dresden,2.27,3.66,3.4,9.9,21.36,11.44,3.99,3.31,11.52,8
site42,DE,Dülmen,1.46,1.48,3.03,27.09,20.39,8.64,3.06,2,14.79,9.31
site43,DE,Erfurt,5.76,4,4.15,11.3,22.57,18.35,8.14,5.97,14.09,10.61
site49,DE,Munich Gut_Grosslappen,4.62,5.25,15.42,26.42,37.46,22.4,8.02,5.96,25.43,17.09
site52,DE,Saarbrucken (2),7.67,7.17,8.55,19.5,30.87,26.59,14.88,9.91,21.38,16.46
site54,DK,Copenhagen,10.31,4.99,10.88,36.87,135.42,22.34,37.54,17.61,51.38,36.91
site55,ES,Barcelona,27.65,26.26,31.11,67.36,115.28,71,44.65,32.85,71.19,54.76
site56,ES,Castellon,6.77,4.89,5.37,6.46,26.09,27.24,9.72,7.13,16.29,12.36
site57,ES,Madrid VdlV,5.07,6.6,5.09,4.59,8.51,20.56,13.09,8.25,9.69,9.07
site59,ES,Santiago,7.95,7.58,22.56,23.29,23.27,11.87,8.73,8.09,20.25,15.04
site60,ES,Valencia (3),25.93,10.78,11.62,5.98,64.65,38.92,20.97,19.23,30.29,25.55
site61,FI,Espoo,10.31,10.65,12.49,47.68,46.6,26.92,12.61,11.19,33.42,23.89
site62,FI,Helsinki,15.96,15.92,24.26,83.32,101.83,45.18,21.98,17.96,63.65,44.06
site84,FI,Tampere,10.4,11.09,10.47,59.73,37.86,22.26,10.91,10.8,32.58,23.25
site85,FI,Turku,6,6.21,12.62,33.26,59.35,27.85,59.57,23.92,33.27,29.26
site88,FR,Bordeaux I,3.39,20.51,4,30.47,61.13,97.83,40.92,21.61,48.36,36.89
site90,FR,Paris Seine Centre,2.23,2.35,13.31,36.16,76.07,45.51,14.38,6.32,42.76,27.14
site93,GB,London,30.05,23,39.88,67.16,102.62,52.4,37.56,30.2,65.51,50.38
site94,GR,Athens,3.39,6.26,3.33,7.09,10.32,7.03,7.09,5.58,6.94,6.36
site95,GR,Eleusis,2.46,0.33,0.8,0.68,0.34,0.35,0.83,1.21,0.54,0.83
site98,HR,Zagreb,20.34,12.45,13.39,30.13,43.39,25.43,110.41,47.73,28.08,36.5
site99,IS,Reykjavik Klettagarðar,20.88,19.78,29.26,45.83,66.37,43.72,33.67,24.78,46.3,37.07
site100,IT,Bozen,1.77,2.12,8.65,6.81,9.73,3.28,1.52,1.8,7.12,4.84
site101,IT,Milan,3.45,4.43,3.42,9.28,12.77,7.8,4,3.96,8.32,6.45
site102,LT,Kaunas,23.1,15.77,20.04,41.95,52.86,39.97,28.85,22.57,38.71,31.79
site103,LT,Klaipeda,34.38,23.07,20.35,55.11,72.51,54.97,41.67,33.04,50.73,43.15
site104,LT,Vilnius,18.38,13.88,22.16,87.23,66.6,43.12,26.34,19.53,54.78,39.67
site105,LV,Riga,30.35,9.64,15.43,11.31,16.96,44.1,52.17,30.72,21.95,25.71
site107,NL,Amsterdam,453.38,91.05,183.09,246.44,429.95,355.18,252.98,265.8,303.66,287.44
site108,NL,Eindhoven,105.5,73.01,90.15,125.22,183.46,125.98,134.37,104.29,131.2,119.67
site111,NL,Utrecht,74.96,78.65,100.62,202.05,217.42,110.62,119.55,91.06,157.68,129.13
site112,NO,Oslo,33.44,29.79,31.98,56.3,67.54,54.5,44.14,35.79,52.58,45.38
site113,PL,Krakow P,11.25,16.76,28.56,45.53,30.7,34.1,20.63,16.22,34.72,26.79
site114,PT,Almada,5.15,5.52,6.66,19.87,27.34,18.82,5.92,5.53,18.17,12.75
site115,PT,Lisbon,22.19,16.73,17.89,46.38,88.01,73.79,18.73,19.22,56.52,40.53
site116,PT,Porto,14.87,15.32,19.17,24.02,31.1,34.94,10.24,13.48,27.31,21.38
site121,SE,Gävle,16.7,15.35,9.31,19.59,30.57,15.1,8.81,13.62,18.64,16.49
site123,SE,Stockholm (2),20.37,14.18,13.05,26.79,42.46,45.57,30.02,21.52,31.97,27.49
site126,SE,Uppsala,13.66,9.06,10.35,14.74,25.32,27.39,20.16,14.29,19.45,17.24
site127,SI,Domžale-Kamnik,5.6,3.7,4.03,6.46,16,4.08,6.29,5.2,7.64,6.6
site128,SI,Koper,4.6,3.26,2.4,11.78,21.3,20.49,18.48,8.78,13.99,11.76
site129,SI,Ljubljana,12.02,11.2,15.98,44.67,52.1,32.58,15.79,13,36.33,26.33
site130,SI,Maribor,12.58,11.57,9.48,23.63,40.6,31.88,10.76,11.63,26.4,20.07
site131,SI,Novo mesto,2.46,6.01,25.46,15.15,1.93,5.41,4.94,4.47,11.99,8.77
site132,SI,Velenje,5.01,8.54,4.51,10.43,20.83,10.36,11.4,8.32,11.53,10.15
site135,TR,Adana,18.72,14.64,12.65,7.35,17.51,16.65,14.04,15.8,13.54,14.51
site137,TR,Istanbul (II-VII),30.81,26.97,24.66,32.65,45.26,40.77,30.53,29.44,35.83,33.09
