SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site1,AT,Graz,22.49,25.64,24.75,48.79,25.79,27.86,29.58,25.9,31.8,29.27
site2,AT,Hall-Wattens,6.17,9.74,5.95,9.84,9.46,12.62,9.53,8.48,9.47,9.05
site3,AT,Innsbruck,13.69,15.81,18.43,22.28,20.19,18.45,13.98,14.49,19.83,17.55
site4,AT,Kapfenberg,24.42,19.44,16.04,36.81,27.38,27.66,33.37,25.74,26.97,26.45
site6,AT,Kufstein,14.84,11.94,12.8,16.11,16.87,13.11,13.7,13.49,14.72,14.2
site8,AT,Purgstall,19.72,22.64,27.49,18.83,22.54,32.6,22.59,21.65,25.36,23.77
site9,AT,Region Millstattersee,5.97,5.63,7.49,6.97,7.31,3.77,5.97,5.86,6.39,6.16
site10,AT,Strass im Zillertal,12.72,11.44,12.5,12.49,15.47,13.8,10.79,11.65,13.56,12.74
site11,AT,Wasserverband Hofsteig,16.96,26.41,28.4,17.8,24.97,30.41,24.85,22.74,25.39,24.26
site14,BE,Antwerp Zuid,351.13,315.42,315.51,334.23,512.03,249.01,349.89,338.81,352.69,346.74
site15,BE,Boom,242.21,245.19,259.41,294.07,224.19,177.81,297.66,261.69,238.87,248.65
site17,BE,Brussels,53.96,65.45,55.39,55.27,57.47,59.24,45.18,54.86,56.84,55.99
site25,CH,Berne,52.49,48.84,61.68,54.19,55.45,54.78,63.06,54.8,56.52,55.78
site26,CH,Geneva,0,0,0,0,0,0,0,0,0,0
site29,CH,St. Gallen Hofen,52.05,68.52,93.58,136.83,,43.39,61.66,60.74,91.26,76
site30,CH,Zurich,41.53,36.23,41.04,43.23,43.57,46.36,42.66,40.14,43.55,42.09
site31,CY,Limassol,7.83,1.8,1.96,1.6,1.05,1.18,8.47,6.03,1.44,3.41
site32,CY,Nicosia,3.82,2.81,2.77,1.94,1.45,1.61,4.7,3.77,1.94,2.73
site35,CZ,Karlovy Vary,30.82,31.41,32.97,32.09,32.83,32.43,29.91,30.71,32.58,31.78
site36,CZ,Ostrava,61.93,66.84,71.49,87.87,49.52,131.26,67.32,65.37,85.03,76.6
site37,CZ,Prague,36.91,43.36,35.79,42.63,40.22,37.57,37.08,39.12,39.05,39.08
site39,DE,Chemnitz,19.62,24.04,19.1,18.73,19.61,18.22,18.77,20.81,18.92,19.73
site40,DE,Dortmund,144.57,141.02,135.36,126.06,183.44,133.71,137.74,141.11,144.64,143.13
site41,DE,Dresden,27.33,21.69,41.82,26.7,26.56,24.57,29.6,26.21,29.91,28.32
site42,DE,Dülmen,146.24,131.89,134.04,146.04,142.31,142.78,150.76,142.96,141.29,142.01
site43,DE,Erfurt,41.82,40.11,,37.18,53.29,44.78,48.71,43.55,45.08,44.31
site45,DE,Hamburg (2),56.79,68.8,,,67.96,,60.13,61.91,67.96,62.51
site47,DE,Magdeburg,116.28,114.53,108.04,129.31,91.14,122.71,119.14,116.65,112.8,114.45
site49,DE,Munich Gut_Grosslappen,14.85,,,14.44,10.09,18.5,12.84,13.85,14.34,14.14
