"","country","city","Weekday.mean","year","drug"
"1","Belgium","Antwerp Zuid",239.64,2011,"amphetamine"
"2","Belgium","Brussels",24.63,2011,"amphetamine"
"4","Spain","Barcelona",11.31,2011,"amphetamine"
"5","Spain","Castellon",0,2011,"amphetamine"
"6","Spain","Santiago",30.58,2011,"amphetamine"
"14","Sweden","Umea",16.57,2011,"amphetamine"
"15","Belgium","Antwerp Zuid",0,2011,"cannabis"
"17","Spain","Barcelona",102.43,2011,"cannabis"
"18","Spain","Castellon",100.72,2011,"cannabis"
"19","Spain","Santiago",85.81,2011,"cannabis"
"20","Spain","Valencia (3)",12.78,2011,"cannabis"
"27","Sweden","Umea",0,2011,"cannabis"
"28","Belgium","Antwerp Zuid",610.56,2011,"cocaine"
"29","Belgium","Brussels",150.15,2011,"cocaine"
"31","Spain","Barcelona",331.8,2011,"cocaine"
"32","Spain","Castellon",368.74,2011,"cocaine"
"33","Spain","Santiago",149.82,2011,"cocaine"
"42","Sweden","Umea",1.98,2011,"cocaine"
"43","Belgium","Antwerp Zuid",31.37,2011,"MDMA"
"44","Belgium","Brussels",4.09,2011,"MDMA"
"46","Spain","Barcelona",9.47,2011,"MDMA"
"47","Spain","Castellon",0,2011,"MDMA"
"48","Spain","Santiago",4.31,2011,"MDMA"
"56","Sweden","Umea",0,2011,"MDMA"
"57","Belgium","Antwerp Zuid",4.75,2011,"methamphetamine"
"58","Belgium","Brussels",0,2011,"methamphetamine"
"60","Spain","Barcelona",7.34,2011,"methamphetamine"
"61","Spain","Castellon",0,2011,"methamphetamine"
"62","Spain","Santiago",0,2011,"methamphetamine"
"71","Sweden","Umea",3.45,2011,"methamphetamine"
"72","Belgium","Antwerp Deurne",110.8,2012,"amphetamine"
"73","Belgium","Antwerp Zuid",153.01,2012,"amphetamine"
"74","Belgium","Brussels",35.78,2012,"amphetamine"
"75","Switzerland","Basel",0,2012,"amphetamine"
"76","Switzerland","Berne",31.03,2012,"amphetamine"
"77","Switzerland","Geneva",50.35,2012,"amphetamine"
"78","Switzerland","Zurich",0,2012,"amphetamine"
"81","Spain","Barcelona",12.06,2012,"amphetamine"
"82","Spain","Castellon",0,2012,"amphetamine"
"83","Spain","Santiago",0,2012,"amphetamine"
"84","Finland","Helsinki",44.04,2012,"amphetamine"
"85","Finland","Turku",35.86,2012,"amphetamine"
"95","Belgium","Antwerp Deurne",67.55,2012,"cannabis"
"96","Belgium","Antwerp Zuid",125.39,2012,"cannabis"
"97","Belgium","Brussels",71.55,2012,"cannabis"
"100","Spain","Barcelona",86.38,2012,"cannabis"
"101","Spain","Castellon",109.49,2012,"cannabis"
"102","Spain","Santiago",95.89,2012,"cannabis"
"110","Sweden","Gothenburg",0,2012,"cannabis"
"111","Sweden","Umea",0,2012,"cannabis"
"112","Belgium","Antwerp Deurne",317.08,2012,"cocaine"
"113","Belgium","Antwerp Zuid",658.3,2012,"cocaine"
"114","Belgium","Brussels",149.2,2012,"cocaine"
"115","Switzerland","Basel",276.35,2012,"cocaine"
"116","Switzerland","Berne",252.98,2012,"cocaine"
"117","Switzerland","Geneva",381.05,2012,"cocaine"
"118","Switzerland","St. Gallen Hofen",183.78,2012,"cocaine"
"119","Switzerland","Zurich",378.06,2012,"cocaine"
"122","Spain","Barcelona",367,2012,"cocaine"
"123","Spain","Castellon",218.86,2012,"cocaine"
"124","Spain","Santiago",144.74,2012,"cocaine"
"125","Finland","Helsinki",5.47,2012,"cocaine"
"126","Finland","Turku",0,2012,"cocaine"
"134","Sweden","Gothenburg",17.63,2012,"cocaine"
"135","Sweden","Umea",0,2012,"cocaine"
"136","Belgium","Antwerp Deurne",19.09,2012,"MDMA"
"137","Belgium","Antwerp Zuid",49.9,2012,"MDMA"
"138","Belgium","Brussels",6.43,2012,"MDMA"
"139","Switzerland","Basel",4.66,2012,"MDMA"
"140","Switzerland","Berne",3.79,2012,"MDMA"
"141","Switzerland","Geneva",17.8,2012,"MDMA"
"142","Switzerland","St. Gallen Hofen",7.63,2012,"MDMA"
"143","Switzerland","Zurich",11.46,2012,"MDMA"
"146","Spain","Barcelona",12.15,2012,"MDMA"
"147","Spain","Castellon",0,2012,"MDMA"
"148","Spain","Santiago",2.65,2012,"MDMA"
"149","Finland","Helsinki",6.57,2012,"MDMA"
"150","Finland","Turku",0,2012,"MDMA"
"156","Sweden","Gothenburg",0,2012,"MDMA"
"157","Sweden","Umea",0,2012,"MDMA"
"158","Belgium","Antwerp Deurne",5.05,2012,"methamphetamine"
"159","Belgium","Antwerp Zuid",6.45,2012,"methamphetamine"
"160","Belgium","Brussels",2.18,2012,"methamphetamine"
"161","Switzerland","Basel",0,2012,"methamphetamine"
"162","Switzerland","Berne",20.88,2012,"methamphetamine"
"163","Switzerland","Geneva",0,2012,"methamphetamine"
